Movie,Review,Sentiment
gule bakavali katha,"good movie all vitalacharya setting nice",Positive
chavva,excellent,Positive
sye,neutral,Positive
sye,good,Positive
sye,ok,Positive
sye,bad,Negative
prema katha chitram,average,Neutral
annamayya,excellent,Positive
robin hood,disaster,Neutral
robin hood,disaster,Neutral
robin hood,disaster,Negative
robin hood,worst,Negative
robin hood,disaster,Neutral
annamayya,superb,Positive
annamayya,super,Neutral
annamayya,excellent,Positive
gamechanger,bad,Negative
dhamaka,ok,Neutral
Pathala Bhairavi,Brilliant performances,Positive
Mayabazar,Great soundtrack,Positive
Missamma,Too long and slow,Negative
Gundamma Katha,Fresh and entertaining,Positive
Devadasu,Lacked depth,Neutral
Mooga Manasulu,Brilliant performances,Positive
Sankarabharanam,Lacked depth,Neutral
Maya Bazaar,Predictable plot,Negative
Bhakta Prahlada,Brilliant performances,Positive
Sati Savitri,Engaging and emotional,Positive
Lava Kusa,Visually stunning,Positive
Nartanasala,A timeless classic,Positive
Tenali Ramakrishna,Lacked depth,Neutral
Chandirani,Heartwarming story,Positive
Dr. Chakravarthy,Predictable plot,Negative
Sagara Sangamam,Average experience,Neutral
Swathi Muthyam,Below expectations,Negative
Shiva,Engaging and emotional,Positive
Geethanjali,Fresh and entertaining,Positive
Jagadeka Veerudu Athiloka Sundari,Below expectations,Negative
Kshana Kshanam,Great soundtrack,Positive
Annamayya,Average experience,Neutral
Nuvve Kavali,Engaging and emotional,Positive
Tholi Prema,Brilliant performances,Positive
Preminchukundam Raa,Visually stunning,Positive
Sankarabharanam,Visually stunning,Positive
Aditya 369,A timeless classic,Positive
Gang Leader,Disappointing ending,Negative
Hello Brother,Visually stunning,Positive
Narasimha Naidu,Overrated,Negative
Okkadu,Lacked depth,Neutral
Athadu,Too long and slow,Negative
Pokiri,Below expectations,Negative
Bommarillu,Lacked depth,Neutral
Happy Days,Disappointing ending,Negative
Magadheera,A timeless classic,Positive
Arya,Heartwarming story,Positive
Nuvvostanante Nenoddantana,Great soundtrack,Positive
Anand,Heartwarming story,Positive
Manmadhudu,Average experience,Neutral
Chandamama,Too long and slow,Negative
Yamadonga,Disappointing ending,Negative
Desamuduru,Fresh and entertaining,Positive
Boys,Great soundtrack,Positive
Varsham,Visually stunning,Positive
Baahubali: The Beginning,Engaging and emotional,Positive
Baahubali 2: The Conclusion,Fresh and entertaining,Positive
Eega,Disappointing ending,Negative
Arjun Reddy,A timeless classic,Positive
Rangasthalam,Brilliant performances,Positive
Mahanati,Disappointing ending,Negative
Jersey,Masterpiece,Positive
Fidaa,Lacked depth,Neutral
Pelli Choopulu,Heartwarming story,Positive
Ala Modalaindi,Engaging and emotional,Positive
Bharat Ane Nenu,A timeless classic,Positive
Srimanthudu,Disappointing ending,Negative
Temper,Heartwarming story,Positive
Race Gurram,Below expectations,Negative
Attarintiki Daredi,Predictable plot,Negative
RRR,Great soundtrack,Positive
Pushpa: The Rise,Great soundtrack,Positive
Ala Vaikunthapurramuloo,Lacked depth,Neutral
Vakeel Saab,A timeless classic,Positive
Love Story,Great soundtrack,Positive
Uppena,Engaging and emotional,Positive
Jathi Ratnalu,Fresh and entertaining,Positive
Sarkaru Vaari Paata,Brilliant performances,Positive
Bheemla Nayak,Visually stunning,Positive
Major,Overrated,Negative
Shyam Singha Roy,Heartwarming story,Positive
Karthikeya 2,Fresh and entertaining,Positive
Dasara,Masterpiece,Positive
Virata Parvam,Brilliant performances,Positive
Ante Sundaraniki,Average experience,Neutral
Agent,Masterpiece,Negative
Veera Simha Reddy,Too long and slow,Negative
Waltair Veerayya,Visually stunning,Positive
Bhola Shankar,Disappointing ending,Positive
Skanda,Engaging and emotional,Positive
Salaar,Overrated,Negative
Kushi,Lacked depth,Negative
BRO,Average experience,Negative
Samajavaragamana,Masterpiece,Positive
Ravanasura,Visually stunning,Neutral
Das Ka Dhamki,Predictable plot,Negative
18 Pages,Fresh and entertaining,Negative
Dasara,Heartwarming story,Positive
Meter,A timeless classic,Negative
Custody,Heartwarming story,Positive
Virupaksha,Too long and slow,Positive
Baby,Fresh and entertaining,Positive
Pakka Commercial,Masterpiece,Negative
Thank You,Overrated,Positive
GodFather,Engaging and emotional,Positive
The Ghost,Too long and slow,Positive
Major,Heartwarming story,Positive
Goodachari,Brilliant performances,Positive
Saaho,Below expectations,Positive
Prabhas 20,Visually stunning,Positive
Radhe Shyam,Visually stunning,Neutral
Chitralahari,Too long and slow,Negative
Hello,Brilliant performances,Positive
Raja the Great,Average experience,Negative
LIE,Average experience,Negative
Maharshi,Predictable plot,Negative
Nani's Gang Leader,Great soundtrack,Negative
Krack,Predictable plot,Positive
Vikramarkudu,Fresh and entertaining,Negative
Bimbisara,Heartwarming story,Positive
Sita Ramam,Lacked depth,Negative
Hit: The First Case,Heartwarming story,Neutral
Hit: The Second Case,Disappointing ending,Neutral
Aswathama,Predictable plot,Negative
Karthikeya,Fresh and entertaining,Positive
Aravinda Sametha,Below expectations,Negative
Dhruva,A timeless classic,Negative
Bheeshma,Predictable plot,Negative
Disco Raja,Masterpiece,Negative
Dear Comrade,Overrated,Negative
Taxiwaala,Below expectations,Negative
Agent Sai Srinivasa Athreya,Predictable plot,Positive
Majili,Fresh and entertaining,Positive
Good Luck Sakhi,Overrated,Positive
V,Great soundtrack,Positive
Ranarangam,Average experience,Neutral
World Famous Lover,Disappointing ending,Negative
Solo Brathuke So Better,A timeless classic,Positive
Most Eligible Bachelor,Masterpiece,Negative
Middle Class Melodies,Predictable plot,Negative
SR Kalyanamandapam,Engaging and emotional,Positive
Love Today,Heartwarming story,Positive
Ori Devuda,Predictable plot,Neutral
Kantara,Too long and slow,Negative
Godse,Great soundtrack,Positive
Pelli SandaD,Below expectations,Positive
Khiladi,Brilliant performances,Positive
Rowdy Boys,Fresh and entertaining,Negative
Ashoka Vanamlo Arjuna Kalyanam,Engaging and emotional,Negative
Nene Vasthunna,A timeless classic,Neutral
Sholay,Masterpiece,Positive
Dilwale Dulhania Le Jayenge,A timeless classic,Positive
3 Idiots,Heartwarming story,Positive
Lagaan,Engaging and emotional,Positive
Dangal,Brilliant performances,Positive
PK,Fresh and entertaining,Positive
Taare Zameen Par,Heartwarming story,Positive
Kabhi Khushi Kabhie Gham,Visually stunning,Positive
Kal Ho Naa Ho,Engaging and emotional,Positive
Barfi!,Brilliant performances,Positive
Zindagi Na Milegi Dobara,Fresh and entertaining,Positive
Andaz Apna Apna,A timeless classic,Positive
Queen,Heartwarming story,Positive
Gully Boy,Great soundtrack,Positive
Kahaani,Engaging and emotional,Positive
Article 15,Masterpiece,Positive
Drishyam,Engaging and emotional,Positive
A Wednesday,Brilliant performances,Positive
Piku,Fresh and entertaining,Positive
Swades,Masterpiece,Positive
Chak De! India,Heartwarming story,Positive
Munna Bhai M.B.B.S.,Fresh and entertaining,Positive
Bajrangi Bhaijaan,Engaging and emotional,Positive
Black,Brilliant performances,Positive
Tumbbad,Visually stunning,Positive
Stree,Great soundtrack,Positive
Raazi,Masterpiece,Positive
Tamasha,Heartwarming story,Positive
Neerja,Engaging and emotional,Positive
Haider,Brilliant performances,Positive
Badhaai Ho,Fresh and entertaining,Positive
Mimi,Heartwarming story,Positive
Paa,Brilliant performances,Positive
Udaan,Masterpiece,Positive
Rockstar,Great soundtrack,Positive
Jab We Met,Fresh and entertaining,Positive
My Name is Khan,Engaging and emotional,Positive
Pad Man,Heartwarming story,Positive
The Lunchbox,Brilliant performances,Positive
Talvar,Engaging and emotional,Positive
Masaan,Masterpiece,Positive
Manmarziyaan,Fresh and entertaining,Positive
Pink,Heartwarming story,Positive
Super 30,Brilliant performances,Positive
Dil Chahta Hai,A timeless classic,Positive
Kesari,Visually stunning,Positive
Bhool Bhulaiyaa,Great soundtrack,Positive
Airlift,Masterpiece,Positive
Bhaag Milkha Bhaag,Brilliant performances,Positive
Shershaah,Engaging and emotional,Positive
